代码,名称,交易所,产品类型,合约乘数,PriceTick,持仓类型,持仓日期类型,平仓处理类型
TF,5年期国债,CFFEX,1,10000,0.0050,2,2,0
TS,2年期国债,CFFEX,1,20000,0.0050,2,2,0
IF,沪深300指数,CFFEX,1,300,0.2000,2,2,0
IC,中证500指数,CFFEX,1,200,0.2000,2,2,0
T,10年期国债,CFFEX,1,10000,0.0050,2,2,0
IH,上证50指数,CFFEX,1,300,0.2000,2,2,0
