代码,交易所,名称,代码2,产品代码,产品类型,交割年份,交割月份,合约乘数,PriceTick,创建日,上市日,到期日,开始交割日,结束交割日,合约周期状态,是否交易,持仓类型,持仓日期类型,标的代码,执行价,期权类型
PRT c2001-C-2020&c2001,DCE,&,-c2001-C-2020，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2040&c2001,DCE,&,-c2001-C-2040，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2060&c2001,DCE,&,-c2001-C-2060，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2080&c2001,DCE,&,-c2001-C-2080，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2100&c2001,DCE,&,-c2001-C-2100，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2120&c2001,DCE,&,-c2001-C-2120，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2140&c2001,DCE,&,-c2001-C-2140，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2160&c2001,DCE,&,-c2001-C-2160，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2180&c2001,DCE,&,-c2001-C-2180，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-C-2200&c2001,DCE,&,-c2001-C-2200，c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-P-1740&c2001,DCE,&,-c2001-P-1740，-c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-P-1760&c2001,DCE,&,-c2001-P-1760，-c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
PRT c2001-P-1780&c2001,DCE,&,-c2001-P-1780，-c2001,,3,1900,1,1,1.0000,,,,,,1,0,2,2,,0.0000,1 
