代码,名称,交易所,产品类型,合约乘数,PriceTick,持仓类型,持仓日期类型,平仓处理类型
nr,20号胶,INE,1,10,5.0000,2,1,0
sc,原油,INE,1,1000,0.1000,2,1,0
