´úÂë,½»Ò×Ëù,Ãû³Æ,´úÂë2,²úÆ·´úÂë,²úÆ·ÀàÐÍ,½»¸îÄê·Ý,½»¸îÔÂ·Ý,ºÏÔ¼³ËÊý,PriceTick,´´½¨ÈÕ,ÉÏÊÐÈÕ,µ½ÆÚÈÕ,¿ªÊ¼½»¸îÈÕ,½áÊø½»¸îÈÕ,ºÏÔ¼ÖÜÆÚ×´Ì¬,ÊÇ·ñ½»Ò×,³Ö²ÖÀàÐÍ,³Ö²ÖÈÕÆÚÀàÐÍ,±êµÄ´úÂë,Ö´ÐÐ¼Û,ÆÚÈ¨ÀàÐÍ
ru2006C12250,SHFE,ru2006C12250,ru2006C12250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12250.0000,1 
ru2006C12500,SHFE,ru2006C12500,ru2006C12500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12500.0000,1 
ru2006C12750,SHFE,ru2006C12750,ru2006C12750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12750.0000,1 
ru2006C13000,SHFE,ru2006C13000,ru2006C13000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13000.0000,1 
ru2006C13250,SHFE,ru2006C13250,ru2006C13250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13250.0000,1 
ru2006C13500,SHFE,ru2006C13500,ru2006C13500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13500.0000,1 
ru2006C13750,SHFE,ru2006C13750,ru2006C13750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13750.0000,1 
ru2006C14000,SHFE,ru2006C14000,ru2006C14000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14000.0000,1 
ru2006C14250,SHFE,ru2006C14250,ru2006C14250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14250.0000,1 
ru2006C14500,SHFE,ru2006C14500,ru2006C14500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14500.0000,1 
ru2006C14750,SHFE,ru2006C14750,ru2006C14750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14750.0000,1 
ru2006C15000,SHFE,ru2006C15000,ru2006C15000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15000.0000,1 
ru2006C15250,SHFE,ru2006C15250,ru2006C15250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15250.0000,1 
ru2006C15500,SHFE,ru2006C15500,ru2006C15500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15500.0000,1 
ru2006C15750,SHFE,ru2006C15750,ru2006C15750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15750.0000,1 
ru2006C16000,SHFE,ru2006C16000,ru2006C16000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,16000.0000,1 
ru2006P10250,SHFE,ru2006P10250,ru2006P10250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,10250.0000,2 
ru2006P10500,SHFE,ru2006P10500,ru2006P10500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,10500.0000,2 
ru2006P10750,SHFE,ru2006P10750,ru2006P10750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,10750.0000,2 
ru2006P11000,SHFE,ru2006P11000,ru2006P11000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,11000.0000,2 
ru2006P11250,SHFE,ru2006P11250,ru2006P11250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,11250.0000,2 
ru2006P11500,SHFE,ru2006P11500,ru2006P11500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,11500.0000,2 
ru2006P11750,SHFE,ru2006P11750,ru2006P11750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,11750.0000,2 
ru2006P12000,SHFE,ru2006P12000,ru2006P12000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12000.0000,2 
ru2006P12250,SHFE,ru2006P12250,ru2006P12250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12250.0000,2 
ru2006P12500,SHFE,ru2006P12500,ru2006P12500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12500.0000,2 
ru2006P12750,SHFE,ru2006P12750,ru2006P12750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,12750.0000,2 
ru2006P13000,SHFE,ru2006P13000,ru2006P13000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13000.0000,2 
ru2006P13250,SHFE,ru2006P13250,ru2006P13250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13250.0000,2 
ru2006P13500,SHFE,ru2006P13500,ru2006P13500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13500.0000,2 
ru2006P13750,SHFE,ru2006P13750,ru2006P13750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,13750.0000,2 
ru2006P14000,SHFE,ru2006P14000,ru2006P14000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14000.0000,2 
ru2006P14250,SHFE,ru2006P14250,ru2006P14250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14250.0000,2 
ru2006P14500,SHFE,ru2006P14500,ru2006P14500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14500.0000,2 
ru2006P14750,SHFE,ru2006P14750,ru2006P14750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,14750.0000,2 
ru2006P15000,SHFE,ru2006P15000,ru2006P15000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15000.0000,2 
ru2006P15250,SHFE,ru2006P15250,ru2006P15250,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15250.0000,2 
ru2006P15500,SHFE,ru2006P15500,ru2006P15500,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15500.0000,2 
ru2006P15750,SHFE,ru2006P15750,ru2006P15750,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,15750.0000,2 
ru2006P16000,SHFE,ru2006P16000,ru2006P16000,ru_o,2,2020,5,10,1.0000,20190618,20190618,20200525,20190618,20200525,1,1,2,1,ru2006,16000.0000,2 
ru2007,SHFE,ÌìÈ»Ïð½º2007,ru2007,ru,1,2020,7,10,5.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
ru2007C10000,SHFE,ru2007C10000,ru2007C10000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10000.0000,1 
ru2007C10250,SHFE,ru2007C10250,ru2007C10250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10250.0000,1 
ru2007C10500,SHFE,ru2007C10500,ru2007C10500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10500.0000,1 
ru2007C10750,SHFE,ru2007C10750,ru2007C10750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10750.0000,1 
ru2007C11000,SHFE,ru2007C11000,ru2007C11000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11000.0000,1 
ru2007C11250,SHFE,ru2007C11250,ru2007C11250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11250.0000,1 
ru2007C11500,SHFE,ru2007C11500,ru2007C11500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11500.0000,1 
ru2007C11750,SHFE,ru2007C11750,ru2007C11750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11750.0000,1 
ru2007C12000,SHFE,ru2007C12000,ru2007C12000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12000.0000,1 
ru2007C12250,SHFE,ru2007C12250,ru2007C12250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12250.0000,1 
ru2007C12500,SHFE,ru2007C12500,ru2007C12500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12500.0000,1 
ru2007C12750,SHFE,ru2007C12750,ru2007C12750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12750.0000,1 
ru2007C13000,SHFE,ru2007C13000,ru2007C13000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13000.0000,1 
ru2007C13250,SHFE,ru2007C13250,ru2007C13250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13250.0000,1 
ru2007C13500,SHFE,ru2007C13500,ru2007C13500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13500.0000,1 
ru2007C13750,SHFE,ru2007C13750,ru2007C13750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13750.0000,1 
ru2007C14000,SHFE,ru2007C14000,ru2007C14000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14000.0000,1 
ru2007C14250,SHFE,ru2007C14250,ru2007C14250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14250.0000,1 
ru2007C14500,SHFE,ru2007C14500,ru2007C14500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14500.0000,1 
ru2007C9300,SHFE,ru2007C9300,ru2007C9300,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9300.0000,1 
ru2007C9400,SHFE,ru2007C9400,ru2007C9400,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9400.0000,1 
ru2007C9500,SHFE,ru2007C9500,ru2007C9500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9500.0000,1 
ru2007C9600,SHFE,ru2007C9600,ru2007C9600,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9600.0000,1 
ru2007C9700,SHFE,ru2007C9700,ru2007C9700,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9700.0000,1 
ru2007C9800,SHFE,ru2007C9800,ru2007C9800,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9800.0000,1 
ru2007C9900,SHFE,ru2007C9900,ru2007C9900,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9900.0000,1 
ru2007P10000,SHFE,ru2007P10000,ru2007P10000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10000.0000,2 
ru2007P10250,SHFE,ru2007P10250,ru2007P10250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10250.0000,2 
ru2007P10500,SHFE,ru2007P10500,ru2007P10500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10500.0000,2 
ru2007P10750,SHFE,ru2007P10750,ru2007P10750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,10750.0000,2 
ru2007P11000,SHFE,ru2007P11000,ru2007P11000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11000.0000,2 
ru2007P11250,SHFE,ru2007P11250,ru2007P11250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11250.0000,2 
ru2007P11500,SHFE,ru2007P11500,ru2007P11500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11500.0000,2 
ru2007P11750,SHFE,ru2007P11750,ru2007P11750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,11750.0000,2 
ru2007P12000,SHFE,ru2007P12000,ru2007P12000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12000.0000,2 
ru2007P12250,SHFE,ru2007P12250,ru2007P12250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12250.0000,2 
ru2007P12500,SHFE,ru2007P12500,ru2007P12500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12500.0000,2 
ru2007P12750,SHFE,ru2007P12750,ru2007P12750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,12750.0000,2 
ru2007P13000,SHFE,ru2007P13000,ru2007P13000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13000.0000,2 
ru2007P13250,SHFE,ru2007P13250,ru2007P13250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13250.0000,2 
ru2007P13500,SHFE,ru2007P13500,ru2007P13500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13500.0000,2 
ru2007P13750,SHFE,ru2007P13750,ru2007P13750,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,13750.0000,2 
ru2007P14000,SHFE,ru2007P14000,ru2007P14000,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14000.0000,2 
ru2007P14250,SHFE,ru2007P14250,ru2007P14250,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14250.0000,2 
ru2007P14500,SHFE,ru2007P14500,ru2007P14500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,14500.0000,2 
ru2007P9300,SHFE,ru2007P9300,ru2007P9300,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9300.0000,2 
ru2007P9400,SHFE,ru2007P9400,ru2007P9400,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9400.0000,2 
ru2007P9500,SHFE,ru2007P9500,ru2007P9500,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9500.0000,2 
ru2007P9600,SHFE,ru2007P9600,ru2007P9600,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9600.0000,2 
ru2007P9700,SHFE,ru2007P9700,ru2007P9700,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9700.0000,2 
ru2007P9800,SHFE,ru2007P9800,ru2007P9800,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9800.0000,2 
ru2007P9900,SHFE,ru2007P9900,ru2007P9900,ru_o,2,2020,6,10,1.0000,20190716,20190716,20200624,20190716,20200624,1,1,2,1,ru2007,9900.0000,2 
ruefp,SHFE,ruefp,ruefp,ruefp,5,2037,12,10,5.0000,20060724,20060724,20371231,20371231,20371231,1,1,2,1,ru,0.0000,0 
sn1908,SHFE,Îý1908,sn1908,sn,1,2019,8,1,10.0000,20180716,20180816,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
sn1909,SHFE,Îý1909,sn1909,sn,1,2019,9,1,10.0000,20180816,20180918,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
sn1910,SHFE,Îý1910,sn1910,sn,1,2019,10,1,10.0000,20180912,20181016,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
sn1911,SHFE,Îý1911,sn1911,sn,1,2019,11,1,10.0000,20181016,20181116,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
sn1912,SHFE,Îý1912,sn1912,sn,1,2019,12,1,10.0000,20181115,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
sn2001,SHFE,Îý2001,sn2001,sn,1,2020,1,1,10.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
sn2002,SHFE,Îý2002,sn2002,sn,1,2020,2,1,10.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
sn2003,SHFE,Îý2003,sn2003,sn,1,2020,3,1,10.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
sn2004,SHFE,Îý2004,sn2004,sn,1,2020,4,1,10.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
sn2005,SHFE,Îý2005,sn2005,sn,1,2020,5,1,10.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
sn2006,SHFE,Îý2006,sn2006,sn,1,2020,6,1,10.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
sn2007,SHFE,Îý2007,sn2007,sn,1,2020,7,1,10.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
snefp,SHFE,snefp,snefp,snefp,5,2037,12,1,10.0000,20150313,20150327,20371231,20371231,20371231,1,1,2,1,sn,0.0000,0 
sp1908,SHFE,Æ¯Õë½¬1908,sp1908,sp,1,2019,8,10,2.0000,20181119,20181127,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
sp1909,SHFE,Æ¯Õë½¬1909,sp1909,sp,1,2019,9,10,2.0000,20181119,20181127,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
sp1910,SHFE,Æ¯Õë½¬1910,sp1910,sp,1,2019,10,10,2.0000,20181119,20181127,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
sp1911,SHFE,Æ¯Õë½¬1911,sp1911,sp,1,2019,11,10,2.0000,20181119,20181127,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
sp1912,SHFE,Æ¯Õë½¬1912,sp1912,sp,1,2019,12,10,2.0000,20181120,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
sp2001,SHFE,Æ¯Õë½¬2001,sp2001,sp,1,2020,1,10,2.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
sp2002,SHFE,Æ¯Õë½¬2002,sp2002,sp,1,2020,2,10,2.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
sp2003,SHFE,Æ¯Õë½¬2003,sp2003,sp,1,2020,3,10,2.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
sp2004,SHFE,Æ¯Õë½¬2004,sp2004,sp,1,2020,4,10,2.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
sp2005,SHFE,Æ¯Õë½¬2005,sp2005,sp,1,2020,5,10,2.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
sp2006,SHFE,Æ¯Õë½¬2006,sp2006,sp,1,2020,6,10,2.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
sp2007,SHFE,Æ¯Õë½¬2007,sp2007,sp,1,2020,7,10,2.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
spefp,SHFE,spefp,spefp,spefp,5,2037,12,10,2.0000,20181107,20181127,20371231,20371231,20371231,1,1,2,1,sp,0.0000,0 
wr1908,SHFE,Ïß²Ä1908,wr1908,wr,1,2019,8,10,1.0000,20180716,20181016,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
wr1909,SHFE,Ïß²Ä1909,wr1909,wr,1,2019,9,10,1.0000,20180816,20181016,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
wr1910,SHFE,Ïß²Ä1910,wr1910,wr,1,2019,10,10,1.0000,20180927,20181016,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
wr1911,SHFE,Ïß²Ä1911,wr1911,wr,1,2019,11,10,1.0000,20181016,20181116,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
wr1912,SHFE,Ïß²Ä1912,wr1912,wr,1,2019,12,10,1.0000,20181115,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
wr2001,SHFE,Ïß²Ä2001,wr2001,wr,1,2020,1,10,1.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
wr2002,SHFE,Ïß²Ä2002,wr2002,wr,1,2020,2,10,1.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
wr2003,SHFE,Ïß²Ä2003,wr2003,wr,1,2020,3,10,1.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
wr2004,SHFE,Ïß²Ä2004,wr2004,wr,1,2020,4,10,1.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
wr2005,SHFE,Ïß²Ä2005,wr2005,wr,1,2020,5,10,1.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
wr2006,SHFE,Ïß²Ä2006,wr2006,wr,1,2020,6,10,1.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
wr2007,SHFE,Ïß²Ä2007,wr2007,wr,1,2020,7,10,1.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
wrefp,SHFE,wrefp,wrefp,wrefp,5,2037,12,10,1.0000,20090209,20181016,20371231,20371231,20371231,1,1,2,1,wr,0.0000,0 
zn1908,SHFE,Ð¿1908,zn1908,zn,1,2019,8,5,5.0000,20180716,20180816,20190815,20190816,20190822,1,1,2,1,,0.0000,0 
zn1909,SHFE,Ð¿1909,zn1909,zn,1,2019,9,5,5.0000,20180816,20180918,20190916,20190917,20190923,1,1,2,1,,0.0000,0 
zn1910,SHFE,Ð¿1910,zn1910,zn,1,2019,10,5,5.0000,20180912,20181016,20191015,20191016,20191022,1,1,2,1,,0.0000,0 
zn1911,SHFE,Ð¿1911,zn1911,zn,1,2019,11,5,5.0000,20181016,20181116,20191115,20191118,20191122,1,1,2,1,,0.0000,0 
zn1912,SHFE,Ð¿1912,zn1912,zn,1,2019,12,5,5.0000,20181115,20181218,20191216,20191217,20191223,1,1,2,1,,0.0000,0 
zn2001,SHFE,Ð¿2001,zn2001,zn,1,2020,1,5,5.0000,20181213,20190116,20200115,20200116,20200122,1,1,2,1,,0.0000,0 
zn2002,SHFE,Ð¿2002,zn2002,zn,1,2020,2,5,5.0000,20190116,20190218,20200217,20200218,20200224,1,1,2,1,,0.0000,0 
zn2003,SHFE,Ð¿2003,zn2003,zn,1,2020,3,5,5.0000,20190213,20190318,20200316,20200317,20200323,1,1,2,1,,0.0000,0 
zn2004,SHFE,Ð¿2004,zn2004,zn,1,2020,4,5,5.0000,20190314,20190416,20200415,20200416,20200422,1,1,2,1,,0.0000,0 
zn2005,SHFE,Ð¿2005,zn2005,zn,1,2020,5,5,5.0000,20190415,20190516,20200515,20200518,20200522,1,1,2,1,,0.0000,0 
zn2006,SHFE,Ð¿2006,zn2006,zn,1,2020,6,5,5.0000,20190516,20190618,20200615,20200616,20200622,1,1,2,1,,0.0000,0 
zn2007,SHFE,Ð¿2007,zn2007,zn,1,2020,7,5,5.0000,20190613,20190716,20200715,20200716,20200722,1,1,2,1,,0.0000,0 
znefp,SHFE,znefp,znefp,znefp,5,2037,12,5,5.0000,20060101,20060101,20370101,20370101,20370101,1,1,2,1,zn,0.0000,0 
